Region Name,Region Type,Data Type,2010-04-15 00:00:00,2010-05-15 00:00:00,2010-06-15 00:00:00,2010-07-15 00:00:00,2010-08-15 00:00:00,2010-09-15 00:00:00,2010-10-15 00:00:00,2010-11-15 00:00:00,2010-12-15 00:00:00,2011-01-15 00:00:00,2011-02-15 00:00:00,2011-03-15 00:00:00,2011-04-15 00:00:00,2011-05-15 00:00:00,2011-06-15 00:00:00,2011-07-15 00:00:00,2011-08-15 00:00:00,2011-09-15 00:00:00,2011-10-15 00:00:00,2011-11-15 00:00:00,2011-12-15 00:00:00,2012-01-15 00:00:00,2012-02-15 00:00:00,2012-03-15 00:00:00,2012-04-15 00:00:00,2012-05-15 00:00:00,2012-06-15 00:00:00,2012-07-15 00:00:00,2012-08-15 00:00:00,2012-09-15 00:00:00,2012-10-15 00:00:00,2012-11-15 00:00:00,2012-12-15 00:00:00,2013-01-15 00:00:00,2013-02-15 00:00:00,2013-03-15 00:00:00,2013-04-15 00:00:00,2013-05-15 00:00:00,2013-06-15 00:00:00,2013-07-15 00:00:00,2013-08-15 00:00:00,2013-09-15 00:00:00,2013-10-15 00:00:00,2013-11-15 00:00:00,2013-12-15 00:00:00,2014-01-15 00:00:00,2014-02-15 00:00:00,2014-03-15 00:00:00,2014-04-15 00:00:00,2014-05-15 00:00:00,2014-06-15 00:00:00,2014-07-15 00:00:00,2014-08-15 00:00:00,2014-09-15 00:00:00,2014-10-15 00:00:00,2014-11-15 00:00:00,2014-12-15 00:00:00,2015-01-15 00:00:00,2015-02-15 00:00:00,2015-03-15 00:00:00,2015-04-15 00:00:00,2015-05-15 00:00:00,2015-06-15 00:00:00,2015-07-15 00:00:00,2015-08-15 00:00:00,2015-09-15 00:00:00,2015-10-15 00:00:00,2015-11-15 00:00:00,2015-12-15 00:00:00,2016-01-15 00:00:00,2016-02-15 00:00:00,2016-03-15 00:00:00,2016-04-15 00:00:00,2016-05-15 00:00:00,2016-06-15 00:00:00,2016-07-15 00:00:00,2016-08-15 00:00:00,2016-09-15 00:00:00,2016-10-15 00:00:00,2016-11-15 00:00:00,2016-12-15 00:00:00,2017-01-15 00:00:00,2017-02-15 00:00:00,2017-03-15 00:00:00,2017-04-15 00:00:00,2017-05-15 00:00:00,2017-06-15 00:00:00,2017-07-15 00:00:00,2017-08-15 00:00:00,2017-09-15 00:00:00,2017-10-15 00:00:00,2017-11-15 00:00:00,2017-12-15 00:00:00,2018-01-15 00:00:00,2018-02-15 00:00:00,2018-03-15 00:00:00,2018-04-15 00:00:00,2018-05-15 00:00:00,2018-06-15 00:00:00,2018-07-15 00:00:00,2018-08-15 00:00:00,2018-09-15 00:00:00,2018-10-15 00:00:00,2018-11-15 00:00:00,2018-12-15 00:00:00,2019-01-15 00:00:00,2019-02-15 00:00:00,2019-03-15 00:00:00,2019-04-15 00:00:00,2019-05-15 00:00:00,2019-06-15 00:00:00,2019-07-15 00:00:00,2019-08-15 00:00:00,2019-09-15 00:00:00,2019-10-15 00:00:00,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-15 00:00:00,2020-02-15 00:00:00,2020-03-15 00:00:00,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Middle Tier,175500.0,175400.0,175100.0,174400.0,173600.0,172700.0,171700.0,170700.0,169700.0,168800.0,167800.0,166900.0,165900.0,164800.0,163900.0,163300.0,162900.0,162500.0,162200.0,161900.0,161500.0,161300.0,161200.0,161300.0,161500.0,161900.0,162300.0,162800.0,163300.0,163900.0,164600.0,165400.0,166200.0,167200.0,168200.0,169400.0,170500.0,171800.0,173100.0,174400.0,175700.0,177000.0,178200.0,179300.0,180400.0,181300.0,182200.0,183000.0,183600.0,184100.0,184700.0,185300.0,185800.0,186300.0,186900.0,187600.0,188300.0,189100,189800,190700,191600,192500,193300,194100,194900,195800,196700,197400,198300,199200,200200,201000,201900,202800,203800,204800,205800,206800,207900,209000,210000,211100,212100,213200,214400,215500,216700,217800,218900,220100,221300,222600,223900,225100,226300,227500,228800,230000,231100,232200,233200,234200,235100,236000,236900,237800,238500,239200,239700,240400,241100,241800,242600,243400,244200,245000,245900,246800,247800,248900,251831.78248957664,252690.3628878257,253656.26583585594,254622.16878388615,255695.39428169752,256875.94232928997
Akron Metro,metro,Middle Tier,127100.0,127300.0,127500.0,127800.0,127200.0,126300.0,125500.0,124500.0,123800.0,123200.0,122800.0,122500.0,122100.0,121000.0,119900.0,118800.0,118500.0,118000.0,117500.0,117000.0,116400.0,115700.0,114900.0,114600.0,114600.0,114600.0,114500.0,114400.0,114300.0,114400.0,114500.0,114800.0,115300.0,116100.0,116800.0,117000.0,117100.0,117500.0,118100.0,118900.0,119400.0,119800.0,120400.0,120800.0,121100.0,120900.0,120800.0,120500.0,120400.0,120000.0,120100.0,120000.0,120100.0,120100.0,120000.0,120000.0,120200.0,120200,120500,120900,121600,122400,122800,123300,123700,124200,124400,124600,124500,125300,125600,126100,126200,126600,126800,127300,127300,127700,128100,128700,129600,130600,131500,132000,132500,132800,133900,134200,135200,135900,137200,138200,139100,138800,139000,139600,141000,141700,141500,141700,142100,143000,143600,144300,145000,146000,146700,147200,147200,147500,148600,149600,150300,150800,151200,151700,152300,153200,154300,155400,155599.63811919533,156163.53160826434,156840.2037951472,157855.21207547144,159095.7777514233,160336.34342737516
Albany-Schenectady-Troy Metro,metro,Middle Tier,190400.0,190900.0,191500.0,191700.0,191300.0,190600.0,189700.0,188900.0,187900.0,187100.0,186600.0,186100.0,185400.0,184400.0,183300.0,182100.0,181500.0,181100.0,180800.0,180200.0,179900.0,179800.0,179500.0,179000.0,178500.0,178500.0,178500.0,178800.0,178900.0,179100.0,179500.0,180000.0,180500.0,180900.0,181600.0,182500.0,183300.0,183300.0,183200.0,183000.0,183200.0,183400.0,183500.0,183500.0,183100.0,182700.0,182100.0,181900.0,181500.0,181600.0,181800.0,181900.0,181700.0,181000.0,180400.0,179800.0,179900.0,180200,180500,180500,180500,180700,180900,181200,181700,182000,182300,182700,183000,182900,182700,182700,183200,183600,183800,184100,184300,185000,185600,186500,187100,187500,187800,188100,188300,188400,189000,189500,190200,190500,191100,191800,192600,193600,194700,196000,197100,198500,199600,200400,201600,202600,203200,203000,202700,202900,203700,204500,204900,205100,205200,205600,205700,205900,206200,207000,207800,208200,208000,207700,208884.64583151508,209759.8181724121,210634.99051330917,211072.5766837577,210853.78359853342,210525.59397069705
Albuquerque Metro,metro,Middle Tier,183100.0,182600.0,181800.0,181000.0,180300.0,179000.0,177300.0,175600.0,174300.0,173700.0,173300.0,172700.0,171700.0,170800.0,170000.0,169700.0,168900.0,168400.0,168000.0,167900.0,167500.0,167100.0,166600.0,166100.0,165900.0,165900.0,165900.0,165600.0,166000.0,166800.0,167300.0,167600.0,167400.0,167300.0,167500.0,168000.0,168900.0,169700.0,170500.0,171100.0,171800.0,171800.0,172300.0,172400.0,173300.0,174100.0,174800.0,174800.0,174300.0,174100.0,173800.0,173600.0,173300.0,173300.0,173600.0,174600.0,175000.0,175000,174600,174300,174500,174600,175100,175700,176500,177000,176700,175900,175400,175800,176900,178400,179200,180000,180300,180600,180500,180700,181600,182800,184100,184500,184600,184200,184500,184900,185800,186500,187500,188300,188500,189000,189100,189700,190400,191600,192600,193400,193800,193800,194000,194400,195700,196600,197800,198800,199600,200200,200800,201500,202600,204100,205400,206800,207600,208700,209900,211200,212800,214400,213809.59969769086,215087.94503647357,216482.5035878729,217993.2753518888,219852.68675375453,221712.09815562028
Allentown-Bethlehem-Easton Metro,metro,Middle Tier,198700.0,199500.0,199300.0,198900.0,197500.0,196000.0,194600.0,193500.0,192600.0,191600.0,190300.0,188500.0,186700.0,185200.0,184200.0,183000.0,182200.0,181400.0,180900.0,179800.0,178800.0,178100.0,177400.0,176600.0,175800.0,174900.0,174500.0,174500.0,174600.0,174800.0,174900.0,175300.0,175100.0,175000.0,175100.0,175900.0,176800.0,177600.0,177700.0,177800.0,177900.0,178400.0,178700.0,178800.0,179400.0,180000.0,180600.0,180600.0,180400.0,180100.0,180500.0,180800.0,181100.0,180600.0,180500.0,180500.0,180400.0,180200,179600,179500,179800,180800,181000,181100,181100,181600,182000,182300,182500,182700,183500,183900,184400,184500,184900,185300,185800,186100,186200,186700,187300,188100,188600,189200,189400,189700,190000,190500,191300,192100,193300,194200,195200,195900,197000,198000,199300,200400,201400,202300,203200,204000,204800,205400,206200,206700,206900,207200,207400,208000,208500,209000,209500,209900,210300,210900,211400,212100,212900,213900,212486.42838405655,213123.99879057403,213655.30746267192,214399.139603609,215249.23347896565,216311.85082316143
Amarillo Metro,metro,Middle Tier,115400.0,115600.0,115500.0,115500.0,115600.0,115800.0,115500.0,114900.0,114200.0,114100.0,113900.0,113500.0,113100.0,112700.0,112700.0,112600.0,112400.0,112100.0,111900.0,112000.0,111800.0,111600.0,111500.0,111700.0,111800.0,111900.0,112000.0,112100.0,112500.0,113000.0,113600.0,113800.0,114300.0,114500.0,114700.0,114800.0,114900.0,115300.0,115500.0,116000.0,116300.0,116600.0,116800.0,117100.0,117400.0,117800.0,118300.0,118600.0,119000.0,119200.0,119600.0,119800.0,120100.0,120300.0,120500.0,120900.0,121400.0,121700,121800,122000,122300,122800,123200,123400,123700,123900,124200,124400,124600,125000,125700,126600,127400,127900,128300,128800,129200,129800,130300,130800,131300,131700,132000,132000,131900,131700,131900,132000,132200,132400,132600,133100,133500,133800,133900,134500,135100,135900,136500,136900,137400,137600,138000,138100,138500,138700,139200,139500,139700,139900,140100,140400,140700,141100,141400,141700,141900,142300,142600,142900,144080.66479947808,144402.73838623773,144617.45411074415,145046.88555975704,145368.9591465167,145691.0327332763
Anchorage Metro,metro,Middle Tier,263400.0,264100.0,264200.0,264400.0,264700.0,264900.0,264700.0,263900.0,263500.0,262600.0,261800.0,260300.0,258900.0,257800.0,257900.0,258200.0,258500.0,258600.0,258900.0,259200.0,259700.0,260500.0,261500.0,262700.0,264000.0,265100.0,265000.0,264600.0,264000.0,264200.0,264600.0,265200.0,264900.0,265300.0,265600.0,266800.0,267500.0,268500.0,270500.0,272400.0,274200.0,275400.0,276300.0,277300.0,278400.0,278900.0,279500.0,280100.0,280400.0,280000.0,279300.0,279800.0,281100.0,282400.0,283800.0,284200.0,285300.0,286200,286800,287100,288400,290600,292500,293100,292800,292300,292200,292700,293700,295000,296400,297000,297000,296000,295000,294500,294000,294100,294200,294600,294500,294200,293300,292800,292300,292700,293300,294000,294600,295300,296000,295800,295500,295200,295100,294900,293600,293800,294300,296300,297000,296700,296200,295600,295400,295400,299300,303200,308900,310300,312000,312400,313800,315400,316900,318500,319700,320300,317300,313900,320922.63433530176,322582.0759792171,323826.65721215354,324448.9478286218,321337.49474628054,317811.1812529605
Ann Arbor Metro,metro,Middle Tier,178400.0,178700.0,178700.0,178800.0,178800.0,179000.0,179800.0,179500.0,179400.0,178200.0,177700.0,176800.0,176100.0,175100.0,174700.0,174600.0,174300.0,173000.0,172000.0,172000.0,173000.0,174800.0,176100.0,177300.0,177700.0,177800.0,177800.0,178300.0,179000.0,180500.0,182000.0,184400.0,185700.0,185800.0,185700.0,186600.0,189600.0,193400.0,196600.0,199400.0,201100.0,203200.0,205300.0,207100.0,209000.0,211500.0,214500.0,217000.0,219000.0,219200.0,219400.0,219400.0,221100.0,222700.0,223700.0,224000.0,224000.0,224700,224300,224500,224100,225800,228100,230600,231800,232300,233200,234100,235500,237200,239700,241400,242300,242500,242700,242900,243700,244100,244900,246100,248800,251000,252300,252900,254300,256500,257800,259500,260600,263400,265600,268300,268900,268800,269600,271400,274300,275200,276900,278100,280400,283400,286400,287800,288300,289300,290500,291600,291400,292500,293200,293900,294000,292600,291500,290900,291700,292400,292600,292200,298616.69532450254,298007.93886589934,298819.61414403695,299529.8300124074,299732.74883194175,299326.91119287297
Appleton Metro,metro,Middle Tier,140900.0,140900.0,140700.0,140400.0,140100.0,139700.0,139100.0,138400.0,137900.0,137400.0,136300.0,135300.0,134200.0,133500.0,133000.0,132300.0,131800.0,131100.0,130600.0,130000.0,129500.0,128900.0,128500.0,128300.0,128100.0,128200.0,128200.0,128900.0,129200.0,129800.0,130200.0,130900.0,131200.0,131800.0,132700.0,133300.0,133800.0,133700.0,134000.0,134000.0,134800.0,135200.0,135800.0,136000.0,136500.0,136200.0,135600.0,135300.0,135400.0,136000.0,136600.0,136700.0,136600.0,136700.0,137000.0,137500.0,137900.0,139100,140500,141900,142800,143100,143000,142900,142700,142400,142200,142100,142600,142800,143100,142800,143000,143700,144400,145500,146600,148000,149500,150800,151200,151500,151900,152900,153900,154700,156300,157800,159100,159300,159000,159100,160100,161600,163200,164700,165700,166700,167100,167600,168100,169700,171400,172800,173300,173800,173900,174500,175400,176500,177500,178300,179200,179800,180600,181400,182600,183700,185100,185900,187498.61029157593,188402.87537227932,189759.2729933344,191002.63747930154,192585.10137053247,193489.36645123584
Asheville Metro,metro,Middle Tier,201900.0,201400.0,200600.0,200100.0,199300.0,198500.0,197700.0,197300.0,196900.0,196100.0,195500.0,194800.0,194200.0,193400.0,192800.0,192000.0,191300.0,190600.0,190000.0,189100.0,188200.0,187700.0,187200.0,187000.0,186700.0,186400.0,186100.0,186100.0,186400.0,186900.0,187300.0,187700.0,187900.0,188100.0,188400.0,188500.0,188700.0,188800.0,189300.0,189800.0,190300.0,190700.0,191300.0,191700.0,192500.0,193200.0,194000.0,194800.0,196100.0,197400.0,198300.0,198800.0,199300.0,200100.0,201100.0,202100.0,202700.0,203900,205000,206100,206400,207000,208000,209200,210100,210400,210700,211200,212200,212900,213900,215100,216800,218400,220000,221700,223500,225700,227800,230000,231900,233600,235100,236400,237700,239200,240400,241900,243600,245400,247400,249200,251300,252900,254700,256200,258000,259600,261100,262500,263600,264300,265100,266000,266900,267700,268600,269400,270100,270600,271400,272200,273000,274000,274800,275600,276300,277400,278300,279400,283766.46901811176,284635.58265199966,285396.0570816515,286591.0883282473,287568.8411663712,288763.87241296703
